Site_No,,,,,,,,,,,,,,,,,,,,,,,
Site_No,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Dut_No,Site_No,Dut_Pass,SW_Bin,Data_Num,OS_VCC,OS_SW,Vf,Isw,Ivcc,garbage,,Vcc,Vcc1,Icc_5V,Icc_1V,Icc3,Vcc_on,Vcc_off,SW_Freq_debug,BlankingTime,Tbodydiode,Ivcc_GateOn,Iq,
82,0,TRUE,1,17,-0.5063,-0.4776,-0.605,49.9664,287.7528,,,4.3806,7.7692,-31.4223,-19.111,79.5005,3.82,3.65,0,3.4,0,1.21,84.6534
83,0,TRUE,1,17,-0.5069,-0.4798,-0.606,50.1348,279.7999,,,4.3812,7.7795,-30.7849,-18.522,79.8816,3.85,3.66,20.8333,3.6,0,1.198,84.6091
84,0,TRUE,1,17,-0.507,-0.4798,-0.606,50.3769,279.2711,,,4.3803,7.7299,-31.4063,-19.08,79.1963,3.81,3.66,25,3.6,0,1.201,83.7375
85,0,TRUE,1,17,-0.5073,-0.4798,-0.606,50.6338,278.2814,,,4.3796,7.7302,-31.7669,-19.514,80.0382,3.82,3.65,26.3158,3.4,0,1.206,84.5647
86,0,TRUE,1,17,-0.5081,-0.4797,-0.604,51.4281,284.9344,,,4.3792,7.7298,-32.0418,-19.366,81.0249,3.82,3.66,69.4444,3.2,0,1.236,85.8795
87,0,TRUE,1,17,-0.508,-0.4789,-0.603,51.8917,282.2106,,,4.3783,7.7503,-31.9913,-19.503,81.7812,3.84,3.68,26.3783,3.4,0,1.23,86.4851
88,0,TRUE,1,17,-0.5072,-0.4801,-0.604,52.6446,289.4131,,,4.377,7.7518,-33.5329,-20.516,83.0604,3.83,3.67,23.1481,3.2,0,1.244,87.726
89,0,TRUE,1,17,-0.5068,-0.4809,-0.606,52.7952,286.964,,,4.3783,7.7185,-33.5876,-20.582,81.1195,3.83,3.66,23.1481,3.2,0,1.249,86.234
90,0,TRUE,1,17,-0.5079,-0.4814,-0.605,51.7765,284.3081,,,4.3786,7.7827,-32.0839,-19.458,81.3529,3.83,3.68,19.8373,3.2,0,1.239,86.3226
91,0,TRUE,1,17,-0.5083,-0.4809,-0.605,51.5019,284.4647,,,4.3786,7.7241,-31.5872,-19.227,80.9452,3.83,3.65,69.3963,3.2,0,1.231,85.5249
92,0,TRUE,1,17,-0.5082,-0.4769,-0.602,50.6367,279.3479,,,4.3796,7.7171,-31.9019,-19.343,79.663,3.81,3.66,18.797,3.4,0,1.212,84.6534
93,0,TRUE,1,17,-0.5067,-0.4615,-0.598,50.2647,284.4647,,,4.3802,7.72,-31.4433,-19.117,80.1328,3.82,3.66,18.797,3.4,0,1.213,84.9784
94,0,TRUE,1,17,-0.508,-0.466,-0.599,49.869,263.4185,,,4.3828,7.7144,-30.2976,-18.459,77.5803,3.82,3.65,21.925,3.4,0,1.164,82.0682
95,0,TRUE,1,17,-0.5068,-0.4648,-0.601,50.1702,284.2992,,,4.3811,7.7371,-30.9277,-18.652,79.8905,3.83,3.64,21.9298,3.4,0,1.205,84.6238
96,0,TRUE,1,17,-0.5077,-0.4674,-0.606,49.6062,289.5017,,,4.3817,7.7671,-30.9648,-18.476,79.0249,3.82,3.65,21.9298,3.4,0,1.206,84.1511
97,0,TRUE,1,17,-0.507,-0.4794,-0.604,50.9527,267.7583,,,4.3859,7.7306,-31.1525,-19.033,78.5522,3.81,3.65,26.3158,3.4,0,1.191,82.9693
98,0,TRUE,1,17,-0.5073,-0.4803,-0.605,50.5482,260.7567,,,4.3871,7.793,-30.0538,-18.255,78.3809,3.85,3.67,18.797,3.4,0,1.185,83.1909
99,0,TRUE,1,17,-0.507,-0.479,-0.606,50.7637,279.6374,,,4.3849,7.7641,-31.2169,-18.88,79.728,3.82,3.65,21.9298,3.4,0,1.21,84.2988
100,0,TRUE,1,17,-0.5065,-0.4769,-0.606,51.4369,280.0214,,,4.3846,7.815,-31.4829,-19.044,80.5788,3.85,3.66,26.3158,3.4,0,1.214,85.4363
101,0,TRUE,1,17,-0.5061,-0.4775,-0.606,52.0866,272.429,,,4.3842,7.7663,-31.6463,-19.305,80.9363,3.82,3.66,21.9298,3.4,0,1.215,85.5693
102,0,TRUE,1,17,-0.5061,-0.4773,-0.606,52.5383,298.4295,,,4.384,7.8086,-32.7125,-19.766,83.1136,3.84,3.67,0,3.4,0,1.254,87.8885
103,0,TRUE,1,17,-0.5079,-0.4889,-0.613,52.559,289.9773,,,4.3836,7.7697,-32.9569,-19.912,83.279,3.84,3.66,21.9298,3.4,0,1.259,88.5089
104,0,TRUE,1,17,-0.5057,-0.4907,-0.617,52.497,276.0598,,,4.3869,7.6843,-32.9923,-19.711,83.0988,3.82,3.65,21.9829,3.4,0,1.226,87.6965
105,0,TRUE,1,17,-0.5069,-0.4844,-0.61,52.5383,279.924,,,4.3879,7.7326,-32.7334,-19.584,82.6321,3.82,3.65,23.1481,3.2,0,1.231,87.1056
106,0,TRUE,1,17,-0.5077,-0.4839,-0.609,52.6328,288.6331,,,4.3834,7.7107,-33.1701,-20.2,82.3189,3.81,3.67,18.797,3.4,0,1.25,86.9726
107,0,TRUE,1,17,-0.5077,-0.4907,-0.615,52.2519,278.3759,,,4.3842,7.7366,-32.2983,-19.57,82.183,3.82,3.66,18.843,3.4,0,1.241,87.1351
108,0,TRUE,1,17,-0.5064,-0.4847,-0.611,51.9891,283.3066,,,4.3846,7.7499,-31.6405,-19.185,82.0176,3.82,3.65,21.925,3.4,0,1.229,86.3226
109,0,TRUE,1,17,-0.5061,-0.4814,-0.608,51.7263,274.8869,,,4.3852,7.7632,-31.07,-18.828,80.8831,3.82,3.66,16.4501,3.4,0,1.217,85.584
110,0,TRUE,1,17,-0.5065,-0.4758,-0.603,50.5924,279.1795,,,4.3859,7.7345,-31.4722,-19.267,79.2731,3.81,3.65,14.622,3.4,0,1.211,84.4613
111,0,TRUE,1,17,-0.5065,-0.4754,-0.603,50.9379,292.066,,,4.3859,7.7774,-30.9058,-18.666,80.4577,3.84,3.64,0,3.4,0,1.228,84.8159
112,0,TRUE,1,17,-0.5079,-0.4791,-0.604,51.4665,285.4987,,,4.3851,7.7933,-31.1651,-18.932,79.9909,3.85,3.66,21.9298,3.4,0,1.218,84.9488
113,0,TRUE,1,17,-0.5076,-0.4795,-0.605,51.118,288.3141,,,4.3851,7.7556,-31.1669,-18.706,80.5611,3.84,3.67,21.9298,3.4,0,1.219,85.3624
114,0,TRUE,1,17,-0.5065,-0.4794,-0.606,51.5167,279.6079,,,4.3849,7.7853,-31.523,-18.976,80.4873,3.86,3.65,21.9298,3.4,0,1.215,85.4806
115,0,TRUE,1,17,-0.5067,-0.4798,-0.607,50.7401,285.1205,,,4.3847,7.7207,-32.1446,-19.747,80.892,3.81,3.64,20.8333,3.6,0,1.217,85.4215
116,0,TRUE,1,17,-0.5079,-0.4802,-0.605,51.8533,273.2325,,,4.3841,7.7199,-32.423,-19.763,80.4105,3.81,3.66,26.3158,3.4,0,1.214,85.1261
117,0,TRUE,1,17,-0.5072,-0.4811,-0.606,51.7677,282.4883,,,4.3826,7.7291,-32.3431,-19.821,80.6822,3.8,3.64,21.9298,3.4,0,1.221,85.3772
118,0,TRUE,1,17,-0.5073,-0.4766,-0.602,50.8405,276.7097,,,4.3836,7.7468,-32.2559,-19.691,79.0367,3.84,3.65,21.9298,3.4,0,1.212,83.8557
119,0,TRUE,1,17,-0.508,-0.4721,-0.601,50.5541,282.3996,,,4.3838,7.7653,-32.4245,-19.747,79.7192,3.82,3.65,21.9298,3.4,0,1.212,84.6829
120,0,TRUE,1,17,-0.5067,-0.4716,-0.601,50.8936,274.8663,,,4.3826,7.7835,-31.8998,-19.6,78.3602,3.82,3.64,25,3.6,0,1.197,82.7921
121,0,TRUE,1,17,-0.5075,-0.4705,-0.599,50.3592,254.2425,,,4.3846,7.7417,-31.9576,-19.738,77.3705,3.82,3.63,17.8571,3.6,0,1.169,81.9648
122,0,TRUE,1,17,-0.5065,-0.4777,-0.605,49.6416,276.6654,,,4.3838,7.7705,-31.4624,-19.045,77.5596,3.84,3.66,25,3.6,0,1.186,81.9501
123,0,TRUE,1,17,-0.5065,-0.4683,-0.599,49.7804,270.9489,,,4.3815,7.7592,-32.1713,-19.622,77.9289,3.86,3.66,13.8889,3.6,0,1.185,82.0387
124,0,TRUE,1,17,-0.5066,-0.4753,-0.604,50.3651,272.8514,,,4.3818,7.8054,-31.5599,-19.257,78.7974,3.85,3.65,25.0063,3.6,0,1.186,82.6887
125,0,TRUE,1,17,-0.5068,-0.4702,-0.6,50.3474,275.7171,,,4.3826,7.7629,-31.9486,-19.611,78.1829,3.82,3.64,24.9938,3.6,0,1.189,82.408
126,0,TRUE,1,17,-0.5071,-0.4684,-0.601,50.0314,282.2135,,,4.3838,7.7704,-32.2068,-19.747,79.1697,3.84,3.64,0,3.4,0,1.206,83.9739
127,0,TRUE,1,17,-0.5068,-0.4684,-0.602,49.8306,275.3832,,,4.3843,7.7549,-32.5912,-19.968,78.7383,3.83,3.64,20.829,3.6,0,1.195,83.1614
128,0,TRUE,1,17,-0.5065,-0.4705,-0.603,50.3887,266.5766,,,4.3849,7.8138,-32.2547,-19.556,78.4193,3.85,3.64,25.0063,3.6,0,1.184,83.0875
129,0,TRUE,1,17,-0.5076,-0.4705,-0.604,50.2942,279.4572,,,4.3838,7.7553,-31.8031,-19.25,79.3321,3.83,3.65,0,3.4,0,1.204,83.7523
130,0,TRUE,1,17,-0.5079,-0.4698,-0.606,50.2676,281.41,,,4.3833,7.7661,-32.9422,-19.969,79.406,3.83,3.65,20.8333,3.6,0,1.201,84.2102
131,0,TRUE,1,17,-0.5065,-0.4716,-0.604,50.2204,268.8218,,,4.383,7.7845,-32.2977,-19.639,78.8742,3.83,3.65,31.25,3.6,0,1.179,83.25
132,0,TRUE,1,17,-0.5066,-0.4732,-0.604,49.7302,284.4381,,,4.3831,7.7256,-32.7336,-20.018,79.2672,3.82,3.64,26.3158,3.4,0,1.196,84.1659
133,0,TRUE,1,17,-0.5069,-0.4726,-0.604,49.7834,271.8115,,,4.3836,7.7928,-31.9573,-19.467,78.3307,3.83,3.65,13.887,3.6,0,1.224,82.733
134,0,TRUE,1,17,-0.5072,-0.4634,-0.604,50.0432,292.2639,,,4.38,7.8195,-32.7386,-19.823,80.1771,3.86,3.66,0,3.6,0,1.204,84.8897
135,0,TRUE,1,17,-0.5064,-0.474,-0.603,49.9487,265.6992,,,4.3808,7.7697,-32.6519,-20.064,78.1948,3.82,3.64,0,3.6,0,1.179,82.1569
136,0,TRUE,1,17,-0.5068,-0.4737,-0.603,50.2676,282.8221,,,4.3823,7.8061,-32.6039,-19.961,78.8654,3.85,3.64,20.8333,3.6,0,1.197,82.8512
137,0,TRUE,1,17,-0.5085,-0.4772,-0.604,49.9192,265.0994,,,4.3802,7.7276,-31.7422,-19.348,76.9215,3.8,3.63,26.3158,3.4,0,1.177,81.566
138,0,TRUE,1,17,-0.5085,-0.4779,-0.606,51.2923,284.376,,,4.3787,7.8409,-33.2053,-20.339,80.8418,3.86,3.67,25,3.6,0,1.216,85.6579
